asset,strategy,cagr,ann_vol,sharpe,sortino,max_dd,calmar
EFA,baseline_full,0.0704,0.2093,0.4297,0.5468,-0.6104,0.1153
EFA,ds_overlay_full,0.0763,0.1844,0.4911,0.6486,-0.559,0.1365
EFA,vix_overlay_full,0.1254,0.1802,0.7459,1.0278,-0.5082,0.2468
EFA,baseline_oos,0.0601,0.1734,0.4238,0.5165,-0.3419,0.1757
EFA,ds_overlay_oos,0.0626,0.1527,0.4741,0.5975,-0.2765,0.2262
EFA,vix_overlay_oos,0.1115,0.1477,0.7904,1.0741,-0.2475,0.4507
EEM,baseline_full,0.0836,0.2742,0.4296,0.5718,-0.6643,0.1259
EEM,ds_overlay_full,0.0908,0.2416,0.4803,0.6611,-0.5928,0.1532
EEM,vix_overlay_full,0.1452,0.2325,0.699,1.0065,-0.5405,0.2686
EEM,baseline_oos,0.0539,0.2062,0.3582,0.4766,-0.3982,0.1353
EEM,ds_overlay_oos,0.0554,0.1842,0.3852,0.5346,-0.3591,0.1544
EEM,vix_overlay_oos,0.1034,0.1795,0.6378,0.9373,-0.3234,0.3196
EWJ,baseline_full,0.0532,0.2063,0.3545,0.4878,-0.5445,0.0978
EWJ,ds_overlay_full,0.056,0.1851,0.3868,0.5423,-0.4925,0.1136
EWJ,vix_overlay_full,0.1005,0.1828,0.6153,0.9035,-0.4428,0.227
EWJ,baseline_oos,0.0562,0.1701,0.407,0.5432,-0.3314,0.1696
EWJ,ds_overlay_oos,0.0545,0.1536,0.4226,0.572,-0.3131,0.1742
EWJ,vix_overlay_oos,0.1015,0.1493,0.7225,1.0569,-0.2729,0.3721
VGK,baseline_full,0.0492,0.2318,0.3237,0.4033,-0.6361,0.0774
VGK,ds_overlay_full,0.059,0.2039,0.3833,0.4964,-0.5815,0.1015
VGK,vix_overlay_full,0.111,0.1985,0.6297,0.8473,-0.5318,0.2087
VGK,baseline_oos,0.0627,0.1917,0.4138,0.4939,-0.3724,0.1683
VGK,ds_overlay_oos,0.0669,0.1693,0.4676,0.5766,-0.306,0.2185
VGK,vix_overlay_oos,0.1186,0.1633,0.7682,1.0223,-0.2728,0.4346
GLD,baseline_full,0.088,0.1753,0.569,0.7691,-0.4556,0.1932
GLD,ds_overlay_full,0.0888,0.1609,0.6095,0.8193,-0.3805,0.2334
GLD,vix_overlay_full,0.0822,0.1598,0.5745,0.7869,-0.4183,0.1965
GLD,baseline_oos,0.1014,0.1412,0.7545,1.0787,-0.22,0.4608
GLD,ds_overlay_oos,0.0996,0.1303,0.7943,1.1277,-0.2042,0.488
GLD,vix_overlay_oos,0.0863,0.131,0.6974,0.9851,-0.2134,0.4043
DBC,baseline_full,0.0032,0.1936,0.1138,0.1557,-0.7636,0.0042
DBC,ds_overlay_full,0.0224,0.1778,0.2138,0.2998,-0.6789,0.033
DBC,vix_overlay_full,0.0316,0.1759,0.2648,0.3782,-0.6181,0.0511
DBC,baseline_oos,0.068,0.1783,0.4588,0.6082,-0.4171,0.1631
DBC,ds_overlay_oos,0.0862,0.1628,0.5896,0.8024,-0.345,0.2499
DBC,vix_overlay_oos,0.095,0.1615,0.6428,0.8982,-0.2899,0.3276
USO,baseline_full,-0.1013,0.3664,-0.1057,-0.1383,-0.9819,-0.1032
USO,ds_overlay_full,-0.0498,0.326,0.0074,0.0102,-0.9475,-0.0525
USO,vix_overlay_full,-0.0369,0.3244,0.0473,0.0661,-0.9266,-0.0398
USO,baseline_oos,-0.0193,0.3919,0.1507,0.1832,-0.8675,-0.0223
USO,ds_overlay_oos,0.0535,0.3413,0.3251,0.4237,-0.761,0.0703
USO,vix_overlay_oos,0.0666,0.3388,0.3613,0.4783,-0.7235,0.092
