asset,strategy,max_dd_diff_full,sharpe_diff_full,cagr_diff_full,max_dd_diff_oos,sharpe_diff_oos,cagr_diff_oos
EFA,ds_overlay,0.0513,0.0615,0.0059,0.0654,0.0503,0.0025
EFA,vix_overlay,0.1022,0.3163,0.055,0.0944,0.3666,0.0515
EEM,ds_overlay,0.0716,0.0507,0.0072,0.0391,0.027,0.0015
EEM,vix_overlay,0.1239,0.2693,0.0615,0.0749,0.2797,0.0495
EWJ,ds_overlay,0.0521,0.0322,0.0027,0.0184,0.0156,-0.0017
EWJ,vix_overlay,0.1017,0.2607,0.0473,0.0586,0.3155,0.0453
VGK,ds_overlay,0.0546,0.0597,0.0098,0.0664,0.0538,0.0042
VGK,vix_overlay,0.1043,0.306,0.0618,0.0996,0.3543,0.0559
GLD,ds_overlay,0.0751,0.0405,0.0008,0.0158,0.0398,-0.0017
GLD,vix_overlay,0.0372,0.0055,-0.0058,0.0066,-0.0571,-0.0151
DBC,ds_overlay,0.0847,0.0999,0.0192,0.0722,0.1308,0.0182
DBC,vix_overlay,0.1455,0.151,0.0283,0.1272,0.184,0.0269
USO,ds_overlay,0.0344,0.1131,0.0515,0.1065,0.1744,0.0728
USO,vix_overlay,0.0553,0.153,0.0645,0.144,0.2106,0.0859
