lag,corr
-30,-0.1603665215843818
-29,-0.15989083849354985
-28,-0.16313365212993872
-27,-0.16634452378043832
-26,-0.16967059348697236
-25,-0.171625419085426
-24,-0.17205399704884444
-23,-0.17327373331723644
-22,-0.17757894757139359
-21,-0.17956030574168874
-20,-0.1829206807850229
-19,-0.18494585993909524
-18,-0.18897614032449409
-17,-0.19182990802588215
-16,-0.19346579090234164
-15,-0.19980097978409186
-14,-0.20516836123913193
-13,-0.20982052158657577
-12,-0.21528645339171218
-11,-0.22103234065801672
-10,-0.22143474770724983
-9,-0.2206021553621025
-8,-0.22591525114361047
-7,-0.22445383245097764
-6,-0.2264169833721099
-5,-0.2315480070050726
-4,-0.23449563229193454
-3,-0.23922617439422972
-2,-0.244622065610433
-1,-0.24525576597604815
0,-0.2454653431691722
1,-0.25061261805657353
2,-0.25073805066145766
3,-0.25176327842855284
4,-0.25375973288206244
5,-0.25492037280471075
6,-0.25486001753764276
7,-0.2529293872438084
8,-0.25454007620250113
9,-0.25614727200197157
10,-0.2566585042209194
11,-0.2567095513839462
12,-0.25859782179475765
13,-0.2587360538424964
14,-0.25855678709071084
15,-0.25760232455537263
16,-0.25616353679802745
17,-0.25495061741463504
18,-0.2537310327434598
19,-0.25175159978091805
20,-0.24773131574737717
21,-0.24484356579947766
22,-0.24227192389393237
23,-0.2411954040034942
24,-0.23774032191069866
25,-0.2345971517758443
26,-0.2315722164334093
27,-0.23091589909545096
28,-0.2268171732168116
29,-0.22404903506012724
30,-0.22132779461542693
