window,alpha,use_abs,corr_with_baseline,mean_ds,n_dates
40,0.01,True,0.3553,0.9908,5623
40,0.01,False,0.3553,0.9908,5623
40,0.05,True,0.3893,0.9961,5623
40,0.05,False,0.3893,0.9961,5623
40,0.1,True,0.3998,0.9409,5624
40,0.1,False,0.3998,0.9409,5624
60,0.01,True,0.6908,0.9685,5604
60,0.01,False,0.6908,0.9685,5604
60,0.05,True,1.0,0.9351,5604
60,0.05,False,1.0,0.9351,5604
60,0.1,True,0.6704,0.8751,5604
60,0.1,False,0.6704,0.8751,5604
90,0.01,True,0.4094,0.8791,5574
90,0.01,False,0.4094,0.8791,5574
90,0.05,True,0.377,0.8587,5574
90,0.05,False,0.377,0.8587,5574
90,0.1,True,0.3518,0.8096,5574
90,0.1,False,0.3518,0.8096,5574
