symbol,capacity,sharpe_ratio,total_return,max_drawdown,num_trades,num_points
EURUSD=X,0.1,1.7590898586980392,0.18155125732963362,-0.0466066636246968,62,614
EURUSD=X,0.15000000000000002,1.3498053784040591,0.1766969883995675,-0.056256337775292715,95,922
EURUSD=X,0.20000000000000004,1.1213433470931518,0.17169897981498639,-0.04054035395839944,135,1229
EURUSD=X,0.25000000000000006,0.8940835169218613,0.15921133032993784,-0.050730781747300335,158,1537
EURUSD=X,0.30000000000000004,0.47302183253260144,0.09093182436295599,-0.05918889270525968,209,1844
EURUSD=X,0.3500000000000001,-0.025550979076960436,-0.007843850548814424,-0.06314973609891104,259,2151
EURUSD=X,0.40000000000000013,-0.19712913545168978,-0.04614010799803381,-0.08157949409821884,295,2459
EURUSD=X,0.4500000000000001,-0.4585267708145719,-0.10848656186357986,-0.14193494567016582,332,2766
EURUSD=X,0.5000000000000001,-0.5382723392131428,-0.1330295744103558,-0.17029519154979791,364,3074
EURUSD=X,0.5500000000000002,-0.5965980338434804,-0.1540289476273532,-0.17828537591375077,408,3381
EURUSD=X,0.6000000000000002,-0.6737976117975157,-0.18056033170342656,-0.19229400031413724,438,3688
EURUSD=X,0.6500000000000001,-0.7854787826677795,-0.21821585168577406,-0.23725660901750836,466,3996
EURUSD=X,0.7000000000000002,-1.0850222239855274,-0.30137191896693516,-0.31420999462376653,512,4303
EURUSD=X,0.7500000000000002,-1.1629350768578195,-0.3290796656781133,-0.333147263827361,552,4611
EURUSD=X,0.8000000000000003,-1.297559776388059,-0.3706692138480837,-0.3744846664585692,596,4918
EURUSD=X,0.8500000000000003,-1.393616078837441,-0.40451762925236223,-0.40812786859860467,634,5225
EURUSD=X,0.9000000000000002,-1.57403468233413,-0.45564514580834703,-0.4591366947472347,684,5533
EURUSD=X,0.9500000000000003,-1.581082596353073,-0.46734463541459903,-0.4706363594524495,710,5840
